txn_id,branch_id,city,amount,status,date
TXN214668,BRBA01,Bangalore,4277.49,SUCCESS,2024-04-01
TXN736739,BRBA01,Bangalore,3894.14,FAILED,2024-04-01
TXN488061,BRBA01,Bangalore,249.31,SUCCESS,2024-04-01
TXN630455,BRBA01,Bangalore,4407.95,FAILED,2024-04-01
TXN305566,BRBA01,Bangalore,175.18,SUCCESS,2024-04-01
TXN908046,BRBA01,Bangalore,1575.89,FAILED,2024-04-01
TXN333261,BRBA01,Bangalore,851.45,SUCCESS,2024-04-01
TXN261927,BRBA01,Bangalore,486.44,FAILED,2024-04-01
TXN213129,BRBA01,Bangalore,2508.6,SUCCESS,2024-04-01
TXN704311,BRBA01,Bangalore,934.49,SUCCESS,2024-04-01
TXN506455,BRBA01,Bangalore,2217.44,FAILED,2024-04-01
TXN211937,BRBA01,Bangalore,4168.76,FAILED,2024-04-01
TXN330395,BRBA01,Bangalore,363.72,SUCCESS,2024-04-01
TXN230737,BRBA01,Bangalore,4372.92,FAILED,2024-04-01
TXN232037,BRBA01,Bangalore,785.36,SUCCESS,2024-04-01
TXN434490,BRBA01,Bangalore,318.08,FAILED,2024-04-01
TXN177821,BRBA01,Bangalore,1325.12,SUCCESS,2024-04-01
TXN329982,BRBA01,Bangalore,4749.28,FAILED,2024-04-01
TXN243623,BRBA01,Bangalore,1402.35,FAILED,2024-04-01
TXN222339,BRBA01,Bangalore,4701.73,SUCCESS,2024-04-01
TXN287989,BRBA01,Bangalore,4626.4,FAILED,2024-04-02
TXN298431,BRBA01,Bangalore,1916.86,SUCCESS,2024-04-02
TXN677456,BRBA01,Bangalore,3669.9,FAILED,2024-04-02
TXN907607,BRBA01,Bangalore,2846.32,SUCCESS,2024-04-02
TXN646562,BRBA01,Bangalore,2407.35,SUCCESS,2024-04-02
TXN851640,BRBA01,Bangalore,3518.29,FAILED,2024-04-02
TXN983238,BRBA01,Bangalore,1923.48,FAILED,2024-04-02
TXN161308,BRBA01,Bangalore,1854.11,SUCCESS,2024-04-02
TXN192348,BRBA01,Bangalore,4055.06,FAILED,2024-04-02
TXN108696,BRBA01,Bangalore,2333.42,SUCCESS,2024-04-02
TXN470620,BRBA01,Bangalore,1414.27,FAILED,2024-04-02
TXN556717,BRBA01,Bangalore,1235.97,FAILED,2024-04-02
TXN471600,BRBA01,Bangalore,1281.13,SUCCESS,2024-04-02
TXN730174,BRBA01,Bangalore,1252.11,SUCCESS,2024-04-02
TXN788734,BRBA01,Bangalore,3696.78,FAILED,2024-04-02
TXN151453,BRBA01,Bangalore,4010.29,SUCCESS,2024-04-02
TXN711807,BRBA01,Bangalore,2228.42,FAILED,2024-04-02
TXN332810,BRBA01,Bangalore,3160.6,SUCCESS,2024-04-02
TXN652944,BRBA01,Bangalore,3210.82,FAILED,2024-04-02
TXN439309,BRBA01,Bangalore,259.05,FAILED,2024-04-02
TXN629193,BRBA01,Bangalore,154.29,SUCCESS,2024-04-03
TXN633765,BRBA01,Bangalore,1141.04,FAILED,2024-04-03
TXN544631,BRBA01,Bangalore,1730.47,FAILED,2024-04-03
TXN389518,BRBA01,Bangalore,2138.69,FAILED,2024-04-03
TXN185668,BRBA01,Bangalore,3628.78,FAILED,2024-04-03
TXN758098,BRBA01,Bangalore,433.49,FAILED,2024-04-03
TXN874645,BRBA01,Bangalore,1731.1,FAILED,2024-04-03
TXN777516,BRBA01,Bangalore,3497.03,SUCCESS,2024-04-03
TXN569413,BRBA01,Bangalore,4317.56,FAILED,2024-04-03
TXN245410,BRBA01,Bangalore,3126.7,SUCCESS,2024-04-03
TXN224518,BRBA01,Bangalore,1144.6,SUCCESS,2024-04-03
TXN799331,BRBA01,Bangalore,902.59,SUCCESS,2024-04-03
TXN323790,BRBA01,Bangalore,1076.07,SUCCESS,2024-04-03
TXN522519,BRBA01,Bangalore,4727.59,SUCCESS,2024-04-03
TXN846857,BRBA01,Bangalore,3376.94,SUCCESS,2024-04-03
TXN198620,BRBA01,Bangalore,4096.12,FAILED,2024-04-03
TXN602190,BRBA01,Bangalore,2388.46,FAILED,2024-04-03
TXN506131,BRBA01,Bangalore,2710.47,SUCCESS,2024-04-03
TXN407034,BRBA01,Bangalore,2805.94,FAILED,2024-04-03
TXN726627,BRBA01,Bangalore,813.09,SUCCESS,2024-04-03
TXN341663,BRBA01,Bangalore,1643.78,FAILED,2024-04-04
TXN916490,BRBA01,Bangalore,2756.4,FAILED,2024-04-04
TXN732749,BRBA01,Bangalore,2747.83,FAILED,2024-04-04
TXN623322,BRBA01,Bangalore,836.51,SUCCESS,2024-04-04
TXN834172,BRBA01,Bangalore,4650.14,SUCCESS,2024-04-04
TXN568241,BRBA01,Bangalore,316.53,SUCCESS,2024-04-04
TXN193974,BRBA01,Bangalore,4981.09,FAILED,2024-04-04
TXN148361,BRBA01,Bangalore,2966.62,FAILED,2024-04-04
TXN890161,BRBA01,Bangalore,3681.94,FAILED,2024-04-04
TXN231179,BRBA01,Bangalore,3379.2,SUCCESS,2024-04-04
TXN406908,BRBA01,Bangalore,4351.47,SUCCESS,2024-04-04
TXN186775,BRBA01,Bangalore,4101.9,SUCCESS,2024-04-04
TXN311551,BRBA01,Bangalore,571.27,SUCCESS,2024-04-04
TXN583559,BRBA01,Bangalore,3666.95,SUCCESS,2024-04-04
TXN229308,BRBA01,Bangalore,1010.16,SUCCESS,2024-04-04
TXN254211,BRBA01,Bangalore,4761.1,FAILED,2024-04-04
TXN168743,BRBA01,Bangalore,4597.0,SUCCESS,2024-04-04
TXN779688,BRBA01,Bangalore,837.46,SUCCESS,2024-04-04
TXN849777,BRBA01,Bangalore,880.53,SUCCESS,2024-04-04
TXN938719,BRBA01,Bangalore,2733.46,FAILED,2024-04-04
TXN805407,BRBA01,Bangalore,2825.03,FAILED,2024-04-05
TXN775716,BRBA01,Bangalore,4487.08,SUCCESS,2024-04-05
TXN143193,BRBA01,Bangalore,2957.75,SUCCESS,2024-04-05
TXN150840,BRBA01,Bangalore,276.89,SUCCESS,2024-04-05
TXN284569,BRBA01,Bangalore,103.12,FAILED,2024-04-05
TXN735518,BRBA01,Bangalore,1172.8,FAILED,2024-04-05
TXN732974,BRBA01,Bangalore,1541.63,FAILED,2024-04-05
TXN669701,BRBA01,Bangalore,4180.28,FAILED,2024-04-05
TXN330620,BRBA01,Bangalore,280.92,SUCCESS,2024-04-05
TXN898315,BRBA01,Bangalore,4008.53,FAILED,2024-04-05
TXN636265,BRBA01,Bangalore,4541.02,FAILED,2024-04-05
TXN493001,BRBA01,Bangalore,4425.79,FAILED,2024-04-05
TXN931646,BRBA01,Bangalore,3617.46,FAILED,2024-04-05
TXN118661,BRBA01,Bangalore,3551.53,SUCCESS,2024-04-05
TXN813233,BRBA01,Bangalore,4420.8,FAILED,2024-04-05
TXN298844,BRBA01,Bangalore,2380.83,FAILED,2024-04-05
TXN903454,BRBA01,Bangalore,2821.58,FAILED,2024-04-05
TXN379871,BRBA01,Bangalore,3614.02,SUCCESS,2024-04-05
TXN682919,BRBA01,Bangalore,558.92,FAILED,2024-04-05
TXN559066,BRBA01,Bangalore,417.83,SUCCESS,2024-04-05
TXN728047,BRBA01,Bangalore,3912.34,FAILED,2024-04-06
TXN366610,BRBA01,Bangalore,4934.64,SUCCESS,2024-04-06
TXN798161,BRBA01,Bangalore,120.79,FAILED,2024-04-06
TXN803822,BRBA01,Bangalore,3033.23,FAILED,2024-04-06
TXN215694,BRBA01,Bangalore,2610.65,FAILED,2024-04-06
TXN760421,BRBA01,Bangalore,4005.6,SUCCESS,2024-04-06
TXN297667,BRBA01,Bangalore,1175.75,SUCCESS,2024-04-06
TXN332581,BRBA01,Bangalore,828.61,SUCCESS,2024-04-06
TXN919315,BRBA01,Bangalore,2194.33,FAILED,2024-04-06
TXN667010,BRBA01,Bangalore,1609.43,FAILED,2024-04-06
TXN746840,BRBA01,Bangalore,1012.71,FAILED,2024-04-06
TXN440492,BRBA01,Bangalore,2448.03,FAILED,2024-04-06
TXN178103,BRBA01,Bangalore,2004.42,FAILED,2024-04-06
TXN142135,BRBA01,Bangalore,3810.51,FAILED,2024-04-06
TXN884592,BRBA01,Bangalore,2615.9,FAILED,2024-04-06
TXN350108,BRBA01,Bangalore,546.48,FAILED,2024-04-06
TXN232669,BRBA01,Bangalore,612.8,FAILED,2024-04-06
TXN301606,BRBA01,Bangalore,966.53,FAILED,2024-04-06
TXN373054,BRBA01,Bangalore,1425.38,FAILED,2024-04-06
TXN670594,BRBA01,Bangalore,3656.51,SUCCESS,2024-04-06
TXN566732,BRBA01,Bangalore,2801.48,SUCCESS,2024-04-07
TXN300406,BRBA01,Bangalore,3359.38,SUCCESS,2024-04-07
TXN974504,BRBA01,Bangalore,3862.34,SUCCESS,2024-04-07
TXN397394,BRBA01,Bangalore,2991.64,FAILED,2024-04-07
TXN635747,BRBA01,Bangalore,1359.58,FAILED,2024-04-07
TXN736621,BRBA01,Bangalore,427.75,SUCCESS,2024-04-07
TXN780037,BRBA01,Bangalore,865.8,SUCCESS,2024-04-07
TXN841052,BRBA01,Bangalore,2344.93,FAILED,2024-04-07
TXN954209,BRBA01,Bangalore,3003.65,FAILED,2024-04-07
TXN167090,BRBA01,Bangalore,4778.47,SUCCESS,2024-04-07
TXN629390,BRBA01,Bangalore,2146.09,SUCCESS,2024-04-07
TXN165181,BRBA01,Bangalore,1451.0,FAILED,2024-04-07
TXN843495,BRBA01,Bangalore,2740.82,FAILED,2024-04-07
TXN648132,BRBA01,Bangalore,222.75,SUCCESS,2024-04-07
TXN262523,BRBA01,Bangalore,3847.07,FAILED,2024-04-07
TXN235196,BRBA01,Bangalore,3590.75,FAILED,2024-04-07
TXN438483,BRBA01,Bangalore,4870.29,SUCCESS,2024-04-07
TXN322796,BRBA01,Bangalore,2255.33,FAILED,2024-04-07
TXN594906,BRBA01,Bangalore,2299.35,FAILED,2024-04-07
