txn_id,branch_id,city,amount,status,date
TXN757409,BRDE02,Delhi,4895.42,FAILED,2024-04-01
TXN745512,BRDE02,Delhi,1672.5,SUCCESS,2024-04-01
TXN599568,BRDE02,Delhi,2769.54,FAILED,2024-04-01
TXN198716,BRDE02,Delhi,3490.41,SUCCESS,2024-04-01
TXN989453,BRDE02,Delhi,3555.09,SUCCESS,2024-04-01
TXN156087,BRDE02,Delhi,1426.4,SUCCESS,2024-04-01
TXN771765,BRDE02,Delhi,4330.97,SUCCESS,2024-04-01
TXN576588,BRDE02,Delhi,1621.65,FAILED,2024-04-01
TXN823462,BRDE02,Delhi,4227.09,SUCCESS,2024-04-01
TXN849352,BRDE02,Delhi,4811.12,SUCCESS,2024-04-01
TXN303205,BRDE02,Delhi,2605.44,SUCCESS,2024-04-01
TXN459432,BRDE02,Delhi,4066.93,FAILED,2024-04-01
TXN996464,BRDE02,Delhi,206.61,FAILED,2024-04-01
TXN387203,BRDE02,Delhi,900.84,SUCCESS,2024-04-01
TXN308750,BRDE02,Delhi,1544.08,SUCCESS,2024-04-01
TXN632090,BRDE02,Delhi,4433.54,FAILED,2024-04-01
TXN622478,BRDE02,Delhi,1332.34,FAILED,2024-04-01
TXN141593,BRDE02,Delhi,2679.44,SUCCESS,2024-04-01
TXN736111,BRDE02,Delhi,3518.01,SUCCESS,2024-04-01
TXN836280,BRDE02,Delhi,2370.11,FAILED,2024-04-01
TXN402880,BRDE02,Delhi,1798.74,SUCCESS,2024-04-02
TXN119259,BRDE02,Delhi,4589.96,FAILED,2024-04-02
TXN183134,BRDE02,Delhi,3993.55,FAILED,2024-04-02
TXN271902,BRDE02,Delhi,721.93,SUCCESS,2024-04-02
TXN474965,BRDE02,Delhi,3153.15,SUCCESS,2024-04-02
TXN285895,BRDE02,Delhi,3248.95,FAILED,2024-04-02
TXN996952,BRDE02,Delhi,1098.95,FAILED,2024-04-02
TXN143695,BRDE02,Delhi,533.07,FAILED,2024-04-02
TXN706092,BRDE02,Delhi,1250.32,FAILED,2024-04-02
TXN942657,BRDE02,Delhi,2583.09,FAILED,2024-04-02
TXN656871,BRDE02,Delhi,3723.08,FAILED,2024-04-02
TXN829183,BRDE02,Delhi,1814.1,SUCCESS,2024-04-02
TXN613536,BRDE02,Delhi,356.65,SUCCESS,2024-04-02
TXN511973,BRDE02,Delhi,4728.28,FAILED,2024-04-02
TXN971751,BRDE02,Delhi,3218.25,SUCCESS,2024-04-02
TXN388631,BRDE02,Delhi,1162.75,SUCCESS,2024-04-02
TXN478016,BRDE02,Delhi,296.33,SUCCESS,2024-04-02
TXN184717,BRDE02,Delhi,4834.86,FAILED,2024-04-02
TXN868544,BRDE02,Delhi,1087.24,FAILED,2024-04-02
TXN527890,BRDE02,Delhi,1309.1,SUCCESS,2024-04-02
TXN676280,BRDE02,Delhi,983.83,FAILED,2024-04-03
TXN716456,BRDE02,Delhi,277.8,SUCCESS,2024-04-03
TXN650809,BRDE02,Delhi,2406.61,SUCCESS,2024-04-03
TXN788482,BRDE02,Delhi,3711.95,FAILED,2024-04-03
TXN639019,BRDE02,Delhi,3164.67,SUCCESS,2024-04-03
TXN597495,BRDE02,Delhi,1559.69,FAILED,2024-04-03
TXN338587,BRDE02,Delhi,3017.42,FAILED,2024-04-03
TXN830304,BRDE02,Delhi,4628.18,SUCCESS,2024-04-03
TXN160056,BRDE02,Delhi,3828.26,FAILED,2024-04-03
TXN313494,BRDE02,Delhi,2696.55,SUCCESS,2024-04-03
TXN378091,BRDE02,Delhi,3940.95,FAILED,2024-04-03
TXN561899,BRDE02,Delhi,2468.08,SUCCESS,2024-04-03
TXN726527,BRDE02,Delhi,2168.72,FAILED,2024-04-03
TXN469253,BRDE02,Delhi,2272.09,SUCCESS,2024-04-03
TXN951726,BRDE02,Delhi,3842.43,FAILED,2024-04-03
TXN562564,BRDE02,Delhi,3967.8,FAILED,2024-04-03
TXN164279,BRDE02,Delhi,2459.19,SUCCESS,2024-04-03
TXN711004,BRDE02,Delhi,4210.99,FAILED,2024-04-03
TXN297543,BRDE02,Delhi,4990.99,SUCCESS,2024-04-03
TXN532847,BRDE02,Delhi,2730.11,SUCCESS,2024-04-03
TXN193682,BRDE02,Delhi,760.66,SUCCESS,2024-04-04
TXN841167,BRDE02,Delhi,1996.19,SUCCESS,2024-04-04
TXN951531,BRDE02,Delhi,1832.25,FAILED,2024-04-04
TXN795224,BRDE02,Delhi,4097.65,FAILED,2024-04-04
TXN462218,BRDE02,Delhi,1904.28,FAILED,2024-04-04
TXN138947,BRDE02,Delhi,3127.69,SUCCESS,2024-04-04
TXN612493,BRDE02,Delhi,4400.05,FAILED,2024-04-04
TXN553345,BRDE02,Delhi,2175.38,FAILED,2024-04-04
TXN160863,BRDE02,Delhi,1859.37,SUCCESS,2024-04-04
TXN802412,BRDE02,Delhi,4909.42,SUCCESS,2024-04-04
TXN313459,BRDE02,Delhi,1981.33,SUCCESS,2024-04-04
TXN577188,BRDE02,Delhi,213.83,SUCCESS,2024-04-04
TXN361355,BRDE02,Delhi,1934.37,FAILED,2024-04-04
TXN791363,BRDE02,Delhi,4477.56,FAILED,2024-04-04
TXN580568,BRDE02,Delhi,1773.81,SUCCESS,2024-04-04
