"txn_id","branch_id","city","amount","status","date"
"TXN366259","BRBA05","Bangalore","3468.21","FAILED","2024-04-01"
"TXN493014","BRBA05","Bangalore","1561.79","FAILED","2024-04-01"
"TXN465407","BRBA05","Bangalore","1220.61","SUCCESS","2024-04-01"
"TXN867648","BRBA05","Bangalore","784.91","FAILED","2024-04-01"
"TXN671341","BRBA05","Bangalore","4664.7","FAILED","2024-04-01"
"TXN378765","BRBA05","Bangalore","2515.47","SUCCESS","2024-04-01"
"TXN658401","BRBA05","Bangalore","708.89","FAILED","2024-04-01"
"TXN927882","BRBA05","Bangalore","1171.72","FAILED","2024-04-01"
"TXN753091","BRBA05","Bangalore","2673.91","SUCCESS","2024-04-01"
"TXN806212","BRBA05","Bangalore","3747.49","FAILED","2024-04-01"
"TXN307000","BRBA05","Bangalore","3901.23","SUCCESS","2024-04-01"
"TXN598828","BRBA05","Bangalore","231.54","FAILED","2024-04-01"
"TXN885132","BRBA05","Bangalore","2235.78","SUCCESS","2024-04-01"
"TXN761947","BRBA05","Bangalore","3360.4","SUCCESS","2024-04-01"
"TXN633805","BRBA05","Bangalore","4285.39","FAILED","2024-04-01"
"TXN911369","BRBA05","Bangalore","2017.82","FAILED","2024-04-01"
"TXN931346","BRBA05","Bangalore","3461.17","SUCCESS","2024-04-01"
"TXN712753","BRBA05","Bangalore","4185.38","FAILED","2024-04-01"
"TXN637719","BRBA05","Bangalore","963.42","SUCCESS","2024-04-01"
"TXN613930","BRBA05","Bangalore","680.49","FAILED","2024-04-01"
"TXN565974","BRBA05","Bangalore","2236.0","FAILED","2024-04-02"
"TXN580036","BRBA05","Bangalore","2743.52","SUCCESS","2024-04-02"
"TXN831125","BRBA05","Bangalore","2529.34","FAILED","2024-04-02"
"TXN711127","BRBA05","Bangalore","4637.07","SUCCESS","2024-04-02"
"TXN524874","BRBA05","Bangalore","2438.23","FAILED","2024-04-02"
"TXN818942","BRBA05","Bangalore","339.16","FAILED","2024-04-02"
"TXN297111","BRBA05","Bangalore","3180.19","FAILED","2024-04-02"
"TXN105652","BRBA05","Bangalore","514.93","SUCCESS","2024-04-02"
"TXN839849","BRBA05","Bangalore","2660.45","FAILED","2024-04-02"
"TXN600611","BRBA05","Bangalore","2174.18","FAILED","2024-04-02"
"TXN984860","BRBA05","Bangalore","2445.25","SUCCESS","2024-04-02"
"TXN968865","BRBA05","Bangalore","4720.81","FAILED","2024-04-02"
"TXN163907","BRBA05","Bangalore","3560.11","SUCCESS","2024-04-02"
"TXN544959","BRBA05","Bangalore","1403.24","FAILED","2024-04-02"
"TXN727073","BRBA05","Bangalore","4978.24","SUCCESS","2024-04-02"
"TXN297043","BRBA05","Bangalore","1490.56","FAILED","2024-04-02"
"TXN309600","BRBA05","Bangalore","4745.28","FAILED","2024-04-02"
"TXN213579","BRBA05","Bangalore","1279.21","SUCCESS","2024-04-02"
"TXN185642","BRBA05","Bangalore","3462.39","FAILED","2024-04-02"
"TXN581254","BRBA05","Bangalore","3443.7","FAILED","2024-04-02"
"TXN908333","BRBA05","Bangalore","1363.53","FAILED","2024-04-03"
"TXN962130","BRBA05","Bangalore","3443.74","SUCCESS","2024-04-03"
"TXN808603","BRBA05","Bangalore","2574.65","FAILED","2024-04-03"
"TXN286427","BRBA05","Bangalore","4747.48","SUCCESS","2024-04-03"
"TXN957327","BRBA05","Bangalore","467.22","FAILED","2024-04-03"
"TXN852577","BRBA05","Bangalore","750.15","SUCCESS","2024-04-03"
"TXN694338","BRBA05","Bangalore","4849.25","SUCCESS","2024-04-03"
"TXN880255","BRBA05","Bangalore","670.96","SUCCESS","2024-04-03"
"TXN932034","BRBA05","Bangalore","4184.18","SUCCESS","2024-04-03"
"TXN332612","BRBA05","Bangalore","2789.27","FAILED","2024-04-03"
"TXN379594","BRBA05","Bangalore","4515.8","SUCCESS","2024-04-03"
"TXN178116","BRBA05","Bangalore","3408.48","SUCCESS","2024-04-03"
"TXN107262","BRBA05","Bangalore","921.27","SUCCESS","2024-04-03"
"TXN452768","BRBA05","Bangalore","4142.02","FAILED","2024-04-03"
"TXN271013","BRBA05","Bangalore","4142.5","FAILED","2024-04-03"
"TXN204950","BRBA05","Bangalore","2417.66","SUCCESS","2024-04-03"
"TXN440182","BRBA05","Bangalore","2725.43","SUCCESS","2024-04-03"
"TXN435846","BRBA05","Bangalore","4905.8","SUCCESS","2024-04-03"
"TXN986508","BRBA05","Bangalore","2496.82","SUCCESS","2024-04-03"
"TXN389281","BRBA05","Bangalore","3132.94","SUCCESS","2024-04-03"
"TXN162711","BRBA05","Bangalore","3170.63","SUCCESS","2024-04-04"
"TXN841002","BRBA05","Bangalore","1202.19","SUCCESS","2024-04-04"
"TXN839033","BRBA05","Bangalore","2201.68","SUCCESS","2024-04-04"
"TXN787037","BRBA05","Bangalore","3531.05","SUCCESS","2024-04-04"
"TXN250172","BRBA05","Bangalore","1587.4","FAILED","2024-04-04"
"TXN327402","BRBA05","Bangalore","4119.74","FAILED","2024-04-04"
"TXN164094","BRBA05","Bangalore","668.57","SUCCESS","2024-04-04"
"TXN575318","BRBA05","Bangalore","2322.72","SUCCESS","2024-04-04"
"TXN392575","BRBA05","Bangalore","4370.7","FAILED","2024-04-04"
"TXN847104","BRBA05","Bangalore","2497.16","FAILED","2024-04-04"
